pr_number,merged_at,author,title
32207,2025-01-24T17:25:30Z,sophiebits,Clarify useActionState async non-transition warning
30660,2025-01-24T11:48:20Z,hoxyq,Fix:- Improve HOC support and state preservation in React Refresh
32161,2025-01-22T22:09:41Z,jbrown215,Move effect dep inference tests to infer-effect-dependencies directory
32160,2025-01-22T21:21:54Z,mofeiZ,[compiler][ez] Fix main (bad rebase / amend for #32095)
32095,2025-01-22T20:02:51Z,mofeiZ,[compiler] Fix invalid Array.map type
32094,2025-01-22T19:58:52Z,mofeiZ,[compiler] Repro for invalid Array.map type
32093,2025-01-22T19:34:08Z,mofeiZ,[compiler][ez] rewrite invariant in InferReferenceEffects
32131,2025-01-22T19:22:35Z,mofeiZ,[compiler][ez] Patch for JSX escape sequences in @babel/generator
32138,2025-01-22T17:04:59Z,mofeiZ,fix(react-compiler): `JSXText` emits incorrect with bracket
32149,2025-01-22T15:59:50Z,eps1lon,docs(eslint-plugin-react-compiler): fix typo
32157,2025-01-22T15:39:00Z,eps1lon,Include error name in error chunks
32106,2025-01-22T14:15:49Z,hoxyq,DevTools: support useEffectEvent and forward-fix experimental prefix support
32105,2025-01-21T20:00:02Z,sebmarkbage,Add Transition Types
32120,2025-01-18T22:41:34Z,poteto,Support eslint 8+ flat plugin syntax out of the box for eslint-plugin-react-compiler
32116,2025-01-17T22:48:57Z,unstubbable,[Flight] Transport custom error names in dev mode
32115,2025-01-17T20:16:36Z,poteto,[eslint-plugin-react-hooks] Inline meta fields
32069,2025-01-17T18:54:11Z,gnoff,[Fizz] Support Suspense boundaries anywhere
32112,2025-01-17T17:42:07Z,poteto,[ci] Use correct actor when checking if maintainer
31960,2025-01-17T17:04:02Z,josephsavona,[compiler] validation against calling impure functions
32087,2025-01-17T16:42:30Z,sebmarkbage,Fix moveBefore feature detection
32111,2025-01-17T15:35:25Z,poteto,[ci] Fix maintainer output condition check
32110,2025-01-17T15:22:34Z,poteto,Fix maintainer check condition
30774,2025-01-16T23:39:11Z,poteto,feat(eslint-plugin-react-hooks): support flat config
32103,2025-01-16T20:12:11Z,poteto,[ci] Only notify after labeling
32102,2025-01-16T20:05:40Z,poteto,Fix outdated maintainers list
32101,2025-01-16T19:21:55Z,poteto,[ci] Use shared maintainer check for discord notifications
32100,2025-01-16T19:16:21Z,poteto,[ci] Automatically label PRs from core team
32091,2025-01-16T18:37:14Z,poteto,[rcr] Always target node
32092,2025-01-16T17:09:58Z,poteto,[ci] Better filtering for discord notifications
32090,2025-01-16T17:07:03Z,hoxyq,React DevTools 6.0.1 -> 6.1.0
32088,2025-01-16T15:42:54Z,hoxyq,fix[DevTools]: support useResourceEffect
32080,2025-01-16T15:33:24Z,jackpope,Fix local react usage in DOM fixture
32086,2025-01-16T14:17:06Z,hoxyq,fix[DevTools]: fix HostComponent naming in filters for Native
32079,2025-01-15T22:41:31Z,rickhanlonii,[actions] split out compiler notify
32077,2025-01-15T18:41:22Z,hoxyq,Fix copy functionality in Firefox
32075,2025-01-15T16:20:45Z,rickhanlonii,"[internal] fix console patch, add RN"
32074,2025-01-15T14:32:33Z,hoxyq,chore[DevTools]: don't use batchedUpdate
32058,2025-01-15T14:19:21Z,rickhanlonii,Flag to remove www console forks
32068,2025-01-14T23:40:54Z,eps1lon,Reduce risk of leaving shipped Hooks as nullable on Dispatcher
32070,2025-01-14T23:29:37Z,eps1lon,Fix Flight fixture CI
32067,2025-01-14T21:59:52Z,eps1lon,[Fizz] Restore `useMemoCache` in renderers with support for Client APIs
32066,2025-01-14T20:23:42Z,hoxyq,[DevTools] Prevent crash when starting consecutive profiling sessions
32045,2025-01-13T18:49:31Z,poteto,fix(eslint-plugin-react-compiler): support v9 context api
32054,2025-01-13T18:42:20Z,eps1lon,Use internal `ReactCompilerRuntime` in `react/compiler-runtime` entrypoint
32055,2025-01-13T17:18:59Z,mofeiZ,[compiler][ez] Patch compilationMode:infer object method edge case
32050,2025-01-13T14:45:53Z,sebmarkbage,View Transition Class Names based on event kind
32041,2025-01-12T18:16:54Z,sebmarkbage,View Transition Events
32038,2025-01-10T16:51:37Z,sebmarkbage,View Transition Refs
32036,2025-01-09T21:37:01Z,sebmarkbage,[Fiber] Support moveBefore at the top level of a container
32018,2025-01-09T18:38:49Z,hoxyq,fix[DevTools/Tree]: only scroll to item when panel is visible
31968,2025-01-09T18:21:55Z,hoxyq,[DevTools]  feat[Tree]: set initial scroll offset when inspected element index is set
31956,2025-01-09T18:13:24Z,hoxyq,DevTools: merge element fields in TreeStateContext
31892,2025-01-09T18:01:08Z,hoxyq,DevTools: fix initial host instance selection
32015,2025-01-09T18:00:30Z,hoxyq,chore[DevTools/Tree]: don't pre-select root element and remove unused code
32019,2025-01-09T18:00:09Z,hoxyq,chore[DevTools/TraceUpdates]: display names by default
32012,2025-01-09T17:38:17Z,mofeiZ,[compiler] Playground qol: shared compilation option directives with tests
32035,2025-01-09T17:21:06Z,poteto,[playground] Partially revert #32009
32034,2025-01-09T16:33:34Z,sebmarkbage,Add ViewTransitionComponent to Stacks and DevTools
32033,2025-01-09T15:51:58Z,javache,Remove enableGetInspectorDataForInstanceInProduction flag
32031,2025-01-09T15:33:44Z,sebmarkbage,Suspensey Fonts for View Transition 
32029,2025-01-09T00:13:25Z,sebmarkbage,Execute layout phase before after mutation phase inside view transition
32028,2025-01-08T23:57:54Z,sebmarkbage,ViewTransitions in Navigation
32002,2025-01-08T18:36:57Z,sebmarkbage,[Fiber] Suspend the commit while we wait for the previous View Transition to finish
31996,2025-01-08T18:22:16Z,sebmarkbage,[Fiber] Support only View Transitions v2
31999,2025-01-08T18:22:06Z,sebmarkbage,[Fiber] Use className on <ViewTransition> to assign view-transition-class
31975,2025-01-08T17:11:18Z,sebmarkbage,Add <ViewTransition> Component
31966,2025-01-08T17:08:30Z,sebmarkbage,[Fiber] Delete isMounted internals
32008,2025-01-08T17:03:02Z,rickhanlonii,[flags] remove enableDeferRootSchedulingToMicrotask
32005,2025-01-08T12:14:52Z,hoxyq,chore[react-devtools-shell]: disable warnings in dev server overlay
31989,2025-01-07T19:17:14Z,rickhanlonii,[tests] Remove to*Dev matchers
32010,2025-01-07T17:09:10Z,poteto,[ci] Make gh workflow names consistent
32009,2025-01-07T16:53:28Z,poteto,[playground] Use default compiler config
32006,2025-01-07T14:34:22Z,rickhanlonii,"Fix notify target, add lines"
31985,2025-01-06T22:57:19Z,rickhanlonii,bot for pr notifications
31988,2025-01-06T19:13:03Z,rickhanlonii,[assert helpers] ServerIntegration tests
31986,2025-01-06T19:12:53Z,rickhanlonii,[assert helpers] react-reconciler
31984,2025-01-06T19:12:35Z,rickhanlonii,[tests] fix hidden use() warnings
31995,2025-01-06T16:02:23Z,poteto,[playground:ci] Don't install compiler deps twice
31994,2025-01-06T16:01:38Z,poteto,[rcr] Generate ts defs
31993,2025-01-06T14:06:09Z,poteto,fix: `react-compiler-runtime` should be cjs
31823,2025-01-06T11:12:09Z,eps1lon,react-hooks/rules-of-hooks: detect issues in class properties
31983,2025-01-05T22:10:29Z,rickhanlonii,[assert helpers] react-dom (pt3)
31783,2025-01-03T17:53:28Z,rickhanlonii,[fizz] fix empty string href double warning
31772,2025-01-03T17:53:19Z,rickhanlonii,[flags] Remove enableServerComponentLogs
31965,2025-01-03T02:23:09Z,sebmarkbage,Make RefStatic and LayoutStatic the same bit
31963,2025-01-02T21:59:56Z,poteto,[compiler] Switch to esbuild
31962,2025-01-02T21:59:45Z,poteto,[compiler] Update prettier-plugin-hermes-parser
31901,2025-01-02T20:53:19Z,rickhanlonii,[assert helpers] ReactDOMFloat-test
31902,2025-01-02T20:53:06Z,rickhanlonii,[assert helpers] react-dom (pt2)
31898,2025-01-02T20:28:15Z,rickhanlonii,[assert helpers] ReactDOMComponent-test
31897,2025-01-02T20:28:06Z,rickhanlonii,[assert helpers] react-dom (pt 1)
31930,2025-01-02T19:55:35Z,sebmarkbage,[Fiber] Refactor Commit Phase into Separate Functions for Before Mutation/Mutation/Layout
31922,2025-01-02T19:34:26Z,sebmarkbage,[Fiber] Avoid return value from commitBeforeMutationEffects
